title,firstName,lastName,dob,editMode
Ms.,Marie,Curie,2005-12-29,true
Mr.,Nicholas,Cage,2025-03-24,true
Dr.,Wilson,Smith,2021-08-27,false
Miss,Emma,Watson,2022-04-17,true
Prof.,Albert,Einstein,1989-03-14,true
Mr.,John,Doe,1990-01-01,false
Ms.,Jane,Austen,1985-07-18,true
Dr.,Alexander,Fleming,1995-08-06,false
Prof.,Isaac,Newton,1970-12-25,true
Mr.,Harry,Potter,2000-07-31,false
Ms.,Amelia,Earhart,1993-06-24,true
Dr.,Marie,Skłodowska,1987-11-07,false
Prof.,Ada,Lovelace,1998-12-10,true
Mr.,Alan,Turing,1999-06-23,false
Ms.,Rosalind,Franklin,1991-07-25,false
Dr.,Grace,Hopper,1975-12-09,true
Prof.,Stephen,Hawking,1942-01-08,false
Mr.,Neil,Armstrong,1969-07-20,false
Ms.,Florence,Nightingale,1980-05-12,true
Dr.,Galileo,Galilei,1995-02-15,false
Prof.,Charles,Darwin,1982-02-12,true
Mr.,Leonardo,Da Vinci,1976-04-15,false
Ms.,Sally,Ride,1981-05-26,true
Dr.,Carl,Sagan,1992-11-09,false
Prof.,Richard,Feynman,1990-05-11,true
Ms.,Rachel,Carson,1983-12-27,false
Dr.,Edward,Jenner,1994-05-17,false
Mr.,Michael,Faraday,1988-09-22,false
Ms.,Chien-Shiung,Wu,1986-05-31,true
Dr.,Johannes,Kepler,1973-12-27,false
Prof.,Margaret,Hamilton,1965-08-17,true
Ms.,Katherine,Johnson,1980-03-05,false
Mr.,Thomas,Edison,1974-10-11,false
Prof.,Niels,Bohr,1960-11-12,true
Dr.,James,Clerk Maxwell,1950-06-13,false
Ms.,Barbara,McClintock,1985-04-02,true
Mr.,Galileo,Ferraris,1990-09-28,false
Prof.,Henrietta,Leavitt,1978-07-04,true
